topic_group,date_utc,rows_total,body_removed_count,body_deleted_count,author_deleted_count,automod_author_count,stickied_count,bot_name_heuristic_count,date,days_from_event,body_removed_rate_pct,body_deleted_rate_pct,author_deleted_rate_pct,automod_author_rate_pct,stickied_rate_pct,bot_name_heuristic_rate_pct
life_advice,2023-04-01,27,1,4,5,0,4,0,2023-04-01,122,3.7037037037037033,14.814814814814813,18.51851851851852,0.0,14.814814814814813,0.0
marketing,2022-11-01,836,35,42,80,85,78,0,2022-11-01,-29,4.186602870813397,5.023923444976076,9.569377990430622,10.167464114832537,9.330143540669857,0.0
marketing,2022-11-02,962,30,29,69,99,96,3,2022-11-02,-28,3.118503118503119,3.0145530145530146,7.172557172557173,10.291060291060292,9.97920997920998,0.31185031185031187
marketing,2022-11-03,951,45,37,120,91,91,2,2022-11-03,-27,4.73186119873817,3.890641430073607,12.618296529968454,9.568874868559412,9.568874868559412,0.2103049421661409
marketing,2022-11-04,792,40,23,83,82,78,3,2022-11-04,-26,5.05050505050505,2.904040404040404,10.47979797979798,10.353535353535353,9.848484848484848,0.3787878787878788
marketing,2022-11-05,792,37,30,83,65,63,2,2022-11-05,-25,4.671717171717172,3.787878787878788,10.47979797979798,8.207070707070708,7.954545454545454,0.25252525252525254
marketing,2022-11-06,763,43,35,79,54,50,3,2022-11-06,-24,5.6356487549148095,4.587155963302752,10.35386631716907,7.077326343381389,6.553079947575361,0.39318479685452157
marketing,2022-11-07,1109,45,36,82,85,80,2,2022-11-07,-23,4.05770964833183,3.2461677186654643,7.39404869251578,7.664562669071236,7.21370604147881,0.18034265103697023
marketing,2022-11-08,921,37,30,71,90,84,6,2022-11-08,-22,4.017372421281216,3.257328990228013,7.709011943539632,9.77198697068404,9.120521172638437,0.6514657980456027
marketing,2022-11-09,928,17,29,46,87,83,1,2022-11-09,-21,1.8318965517241377,3.125,4.956896551724138,9.375,8.943965517241379,0.10775862068965517
marketing,2022-11-10,943,51,28,82,106,95,4,2022-11-10,-20,5.408271474019088,2.9692470837751856,8.695652173913043,11.240721102863201,10.07423117709438,0.4241781548250266
marketing,2022-11-11,753,38,43,83,88,78,1,2022-11-11,-19,5.046480743691899,5.710491367861885,11.022576361221779,11.686586985391765,10.358565737051793,0.13280212483399734
marketing,2022-11-12,740,15,40,60,62,61,0,2022-11-12,-18,2.027027027027027,5.405405405405405,8.108108108108109,8.378378378378379,8.243243243243244,0.0
marketing,2022-11-13,787,13,26,46,59,57,6,2022-11-13,-17,1.6518424396442184,3.303684879288437,5.844980940279543,7.496823379923762,7.242693773824651,0.7623888182973316
marketing,2022-11-14,1032,86,20,110,92,88,3,2022-11-14,-16,8.333333333333332,1.937984496124031,10.65891472868217,8.914728682170542,8.527131782945736,0.29069767441860467
marketing,2022-11-15,1024,47,27,74,91,87,5,2022-11-15,-15,4.58984375,2.63671875,7.2265625,8.88671875,8.49609375,0.48828125
marketing,2022-11-16,957,35,44,82,93,90,17,2022-11-16,-14,3.657262277951933,4.597701149425287,8.56844305120167,9.717868338557993,9.404388714733543,1.7763845350052248
marketing,2022-11-17,999,56,49,117,107,100,6,2022-11-17,-13,5.605605605605605,4.904904904904905,11.711711711711711,10.71071071071071,10.01001001001001,0.6006006006006006
marketing,2022-11-18,1115,42,41,113,93,90,30,2022-11-18,-12,3.766816143497758,3.6771300448430493,10.134529147982063,8.340807174887892,8.071748878923767,2.690582959641256
marketing,2022-11-19,869,19,19,44,70,67,8,2022-11-19,-11,2.186421173762946,2.186421173762946,5.063291139240507,8.05523590333717,7.710011507479862,0.9205983889528193
marketing,2022-11-20,787,41,24,68,61,56,6,2022-11-20,-10,5.209656925031767,3.0495552731893265,8.640406607369759,7.750952986022871,7.115628970775095,0.7623888182973316
marketing,2022-11-21,961,25,23,58,88,82,3,2022-11-21,-9,2.6014568158168574,2.3933402705515086,6.035379812695109,9.157127991675338,8.532778355879293,0.31217481789802287
marketing,2022-11-22,1009,84,30,121,104,97,10,2022-11-22,-8,8.325074331020813,2.973240832507433,11.992071357779981,10.307234886025768,9.613478691774034,0.9910802775024776
